filter_variant,model_role,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months
claims_conditional_joint,sensitivity,after_midmonth_defining_releases,183,5.725822169258401,1.3012827580156618,0.03389764186291701,0.23717615127941352,0.7595628415300546,1.4236516632988863,0.48205179459503866,-0.6690314879904886,4
claims_none,sensitivity,after_midmonth_defining_releases,183,5.740636959590918,1.301282844140015,0.03388711986543432,0.23717623740376675,0.7650273224043715,1.4458861308585587,0.4811298484228429,-0.6690314879904886,4
claims_ccsa_conditional_only,sensitivity,after_midmonth_defining_releases,183,5.742653436850118,1.3011795573513103,0.033785149542522264,0.23707295061506195,0.7595628415300546,1.4454315664380673,0.480995290010676,-0.6690314879904886,4
structural_reduced_no_price,sensitivity,after_midmonth_defining_releases,183,5.750784765730794,1.3008185453744259,0.03337237305986692,0.23671193863817758,0.7759562841530054,1.4242130004942213,0.492046340572403,-0.6690184784530571,4
structural_reduced_input,sensitivity,after_midmonth_defining_releases,183,5.751065246063182,1.3009242973863722,0.03343127475339961,0.23681769065012379,0.7759562841530054,1.4244048904037807,0.4921343294448573,-0.6690184784530571,4
student_t_7_combined,baseline,after_midmonth_defining_releases,183,5.751279867883434,1.3009662128893194,0.03342176661016575,0.23685960615307095,0.7704918032786885,1.4244490086437498,0.49228133240816513,-0.6690184784530571,4
consumer_implicit_only,sensitivity,after_midmonth_defining_releases,183,5.753357334769515,1.2974381191905144,0.03220499215125414,0.233331512454266,0.8087431693989071,1.4293476806832184,0.45536186656064226,-0.5918504682832515,4
consumer_none,sensitivity,after_midmonth_defining_releases,183,5.794504838906495,1.301294293940631,0.033964948166211886,0.23718768720438266,0.8032786885245902,1.4254649198063574,0.4785351882863337,-0.6125778257562013,4
partial_only,major_benchmark,after_midmonth_defining_releases,183,5.837540021332154,1.300541413878924,0.03325293903669275,0.23643480714267567,0.825136612021858,1.4474819172144902,0.48689390958270506,-0.6200446770410959,4
all_revised_candidate,sensitivity,after_midmonth_defining_releases,183,8.760371211697635,1.2992068550663556,0.03336574311324409,0.23510024833010718,0.7486338797814208,1.5707381471461572,0.4608765556754047,-0.6092238800118019,4
consumer_revised_full,sensitivity,after_midmonth_defining_releases,183,8.767215393295627,1.2992660858753975,0.033465931070517464,0.23515947913914906,0.7595628415300546,1.571486835812905,0.4609467831261652,-0.6090417007162561,4
consumer_without_implicit,sensitivity,after_midmonth_defining_releases,183,8.797024010623105,1.3029193839577702,0.035211051498604214,0.2388127772215218,0.7595628415300546,1.5731880400507758,0.47887206225222195,-0.7315081872492866,4
