evaluation_sample,comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,evaluation_checkpoint,metric,better_direction,paired_months,mean_candidate_minus_reference,median_candidate_minus_reference,bootstrap_lower,bootstrap_upper,bootstrap_probability_candidate_better,mean_block_benefit,block_benefit_lower,block_benefit_upper,bootstrap_probability_block_beneficial,centered_two_sided_p_value,block_length_months,calendar_segments,replications,random_seed,holm_adjusted_p_value_replacement_candidates
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,180,8.60346795199961e-06,0.0,-2.2994960426702577e-08,2.234591800781719e-05,0.0826,-8.60346795199961e-06,-2.234591800781719e-05,2.2994960426702474e-08,0.0826,0.1861627674465107,12,2,5000,20260722,0.3723255348930214
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,before_any_defining_release,score_center_negative_log_predictive_density,lower,180,-0.001429335603113403,0.0,-0.0027702055108414876,-0.0003036058072984686,0.9954,0.001429335603113403,0.00030360580729846845,0.002770205510841487,0.9954,0.023395320935812838,12,2,5000,20260722,0.07018596280743851
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,before_any_defining_release,score_center_negative_log_predictive_density,lower,180,-3.5347856037987796e-06,0.0,-8.923343435806211e-06,6.099683860007244e-08,0.9626,3.5347856037987796e-06,-6.099683860007321e-08,8.9233434358062e-06,0.9626,0.11597680463907219,12,2,5000,20260722,0.23195360927814437
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,before_any_defining_release,score_center_negative_log_predictive_density,lower,180,2.068307731006796e-05,0.0,-2.9008514075803644e-08,5.523819424058066e-05,0.071,-2.068307731006796e-05,-5.523819424058066e-05,2.9008514075803635e-08,0.071,0.16896620675864826,12,2,5000,20260722,0.23195360927814437
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,strict_pre_final_score_day,hard_quadrant_correct,higher,180,0.005555555555555556,0.0,-0.011111111111111112,0.022222222222222223,0.6352,0.005555555555555556,-0.011111111111111112,0.022222222222222223,0.6352,0.52249550089982,12,2,5000,20260722,1.0
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,strict_pre_final_score_day,hard_quadrant_correct,higher,180,-0.005555555555555556,0.0,-0.027777777777777776,0.016666666666666666,0.2482,-0.005555555555555556,-0.027777777777777776,0.016666666666666666,0.2482,0.6280743851229754,12,2,5000,20260722,1.0
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,strict_pre_final_score_day,hard_quadrant_correct,higher,180,-0.016666666666666666,0.0,-0.027777777777777776,-0.005555555555555556,0.0,-0.016666666666666666,-0.027777777777777776,-0.005555555555555556,0.0,0.007198560287942412,12,2,5000,20260722,0.021595680863827234
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,strict_pre_final_score_day,quadrant_brier_distance_to_exact_score_map,lower,180,-0.00010850055352808808,0.0,-0.0003666232575082431,0.00019353583068195467,0.773,0.00010850055352808808,-0.0001935358306819547,0.0003666232575082427,0.773,0.4517096580683863,12,2,5000,20260722,0.8082383523295341
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,strict_pre_final_score_day,quadrant_brier_distance_to_exact_score_map,lower,180,0.00024038808519852414,0.0,-0.0002723123958280361,0.0008395833690563276,0.2092,-0.00024038808519852414,-0.0008395833690563282,0.0002723123958280358,0.2092,0.40411917616476706,12,2,5000,20260722,0.8082383523295341
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,strict_pre_final_score_day,quadrant_brier_distance_to_exact_score_map,lower,180,0.00021562354219982485,0.0,7.236434346322811e-05,0.000357844136803327,0.0004,-0.00021562354219982485,-0.00035784413680332703,-7.236434346322826e-05,0.0004,0.002999400119976005,12,2,5000,20260722,0.008998200359928016
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,strict_pre_final_score_day,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.00014007399092426685,0.0,-0.0005512041519911216,0.0003520465451636967,0.7392,0.00014007399092426685,-0.0003520465451636969,0.0005512041519911215,0.7392,0.5438912217556489,12,2,5000,20260722,0.7450509898020395
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,strict_pre_final_score_day,quadrant_cross_entropy_to_exact_score_map,lower,180,0.0003461976634134072,0.0,-0.00033498312905590606,0.0011598062934331137,0.188,-0.0003461976634134072,-0.001159806293433115,0.000334983129055906,0.188,0.37252549490101977,12,2,5000,20260722,0.7450509898020395
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,strict_pre_final_score_day,quadrant_cross_entropy_to_exact_score_map,lower,180,0.0003784814009914449,0.0,0.00010265444850610702,0.0006805947646973418,0.003,-0.0003784814009914449,-0.0006805947646973422,-0.00010265444850610703,0.003,0.011397720455908818,12,2,5000,20260722,0.03419316136772645
