comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,comparison_scope,evaluation_checkpoint,paired_months,first_paired_month,last_paired_month,mean_delta_score_center_negative_log_predictive_density,median_delta_score_center_negative_log_predictive_density,mean_block_benefit_score_center_negative_log_predictive_density,mean_delta_quadrant_cross_entropy_to_exact_score_map,median_delta_quadrant_cross_entropy_to_exact_score_map,mean_block_benefit_quadrant_cross_entropy_to_exact_score_map,mean_delta_quadrant_brier_distance_to_exact_score_map,median_delta_quadrant_brier_distance_to_exact_score_map,mean_block_benefit_quadrant_brier_distance_to_exact_score_map,mean_delta_hard_quadrant_correct,median_delta_hard_quadrant_correct,mean_block_benefit_hard_quadrant_correct
add_one_consumer_demand__vs__partial_only,add_one_consumer_demand,partial_only,consumer_demand,add_one,True,descriptive_active_reference_months,strict_pre_final_score_day,179,2011-05-01,2026-05-01,-0.07741543500266829,-0.03597412671563083,0.07741543500266829,0.0006411547839711984,-1.1245253418445955e-05,-0.0006411547839711984,0.00024239561461820758,-6.48460490424961e-05,-0.00024239561461820758,-0.055865921787709494,0.0,-0.055865921787709494
leave_one_out_consumer_demand__vs__student_t_7_combined,leave_one_out_consumer_demand,student_t_7_combined,consumer_demand,leave_one_out,True,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,0.0001667948330209182,0.0,0.0001667948330209182,5.557222584580511e-05,0.0,5.557222584580511e-05,2.7682194181126792e-05,0.0,2.7682194181126792e-05,0.00546448087431694,0.0,-0.00546448087431694
leave_one_out_consumer_demand__vs__student_t_7_combined,leave_one_out_consumer_demand,student_t_7_combined,consumer_demand,leave_one_out,True,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,0.06917567298844059,0.018635235246228454,0.06917567298844059,-0.00013447544549629288,4.649443998805403e-06,-0.00013447544549629288,-3.0423314467777385e-06,1.5916019717964608e-05,-3.0423314467777385e-06,0.0273224043715847,0.0,-0.0273224043715847
leave_one_out_consumer_demand__vs__student_t_7_combined,leave_one_out_consumer_demand,student_t_7_combined,consumer_demand,leave_one_out,True,full_common_calendar,before_any_defining_release,183,2011-01-01,2026-05-01,0.0001949022505554724,0.0,0.0001949022505554724,6.903998893128258e-05,0.0,6.903998893128258e-05,3.26976943986188e-05,0.0,3.26976943986188e-05,0.0,0.0,-0.0
leave_one_out_consumer_demand__vs__student_t_7_combined,leave_one_out_consumer_demand,student_t_7_combined,consumer_demand,leave_one_out,True,full_common_calendar,strict_pre_final_score_day,183,2011-01-01,2026-05-01,0.06765019171202348,0.0313316687425238,0.06765019171202348,-0.000806919123230381,0.00013095832613263525,-0.000806919123230381,-0.00017729949230437455,5.391067063911098e-05,-0.00017729949230437455,0.01092896174863388,0.0,-0.01092896174863388
leave_one_out_consumer_demand__vs__student_t_7_combined,leave_one_out_consumer_demand,student_t_7_combined,consumer_demand,leave_one_out,True,descriptive_active_reference_months,after_employment_situation,179,2011-05-01,2026-05-01,0.00017052209185937445,1.3877787807814457e-17,0.00017052209185937445,5.681406329487338e-05,0.0,5.681406329487338e-05,2.83007906991408e-05,0.0,2.83007906991408e-05,0.00558659217877095,0.0,-0.00558659217877095
leave_one_out_consumer_demand__vs__student_t_7_combined,leave_one_out_consumer_demand,student_t_7_combined,consumer_demand,leave_one_out,True,descriptive_active_reference_months,after_midmonth_defining_releases,179,2011-05-01,2026-05-01,0.07072149808315434,0.022901411009037087,0.07072149808315434,-0.0001374804833844782,1.2568560326720046e-05,-0.0001374804833844782,-3.1103165070408507e-06,2.5791022862011598e-05,-3.1103165070408507e-06,0.027932960893854747,0.0,-0.027932960893854747
leave_one_out_consumer_demand__vs__student_t_7_combined,leave_one_out_consumer_demand,student_t_7_combined,consumer_demand,leave_one_out,True,descriptive_active_reference_months,before_any_defining_release,179,2011-05-01,2026-05-01,0.0001992576081097846,0.0,0.0001992576081097846,7.058278198002633e-05,0.0,7.058278198002633e-05,3.342836913378347e-05,0.0,3.342836913378347e-05,0.0,0.0,-0.0
leave_one_out_consumer_demand__vs__student_t_7_combined,leave_one_out_consumer_demand,student_t_7_combined,consumer_demand,leave_one_out,True,descriptive_active_reference_months,strict_pre_final_score_day,179,2011-05-01,2026-05-01,0.06916192783966647,0.03302137554142148,0.06916192783966647,-0.0008249508354813392,0.00019132251702980163,-0.0008249508354813392,-0.0001812614921324051,8.025354044812047e-05,-0.0001812614921324051,0.0111731843575419,0.0,-0.0111731843575419
add_one_housing_activity__vs__partial_only,add_one_housing_activity,partial_only,housing_activity,add_one,True,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,5.501274159024156e-06,0.0,-5.501274159024156e-06,2.268961667478667e-06,0.0,-2.268961667478667e-06,1.2053324692047612e-06,0.0,-1.2053324692047612e-06,0.0,0.0,0.0
add_one_housing_activity__vs__partial_only,add_one_housing_activity,partial_only,housing_activity,add_one,True,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,0.0003015741812212684,0.0,-0.0003015741812212684,8.317721651312361e-05,0.0,-8.317721651312361e-05,2.9641050257667185e-05,0.0,-2.9641050257667185e-05,0.0,0.0,0.0
add_one_housing_activity__vs__partial_only,add_one_housing_activity,partial_only,housing_activity,add_one,True,full_common_calendar,before_any_defining_release,183,2011-01-01,2026-05-01,3.889093179087183e-06,0.0,-3.889093179087183e-06,1.6603621901417407e-06,0.0,-1.6603621901417407e-06,7.989875372970355e-07,0.0,-7.989875372970355e-07,0.0,0.0,0.0
add_one_housing_activity__vs__partial_only,add_one_housing_activity,partial_only,housing_activity,add_one,True,full_common_calendar,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-0.007113954956837197,0.0,0.007113954956837197,0.00021404804902431685,0.0,-0.00021404804902431685,0.00016756181836524278,0.0,-0.00016756181836524278,-0.01639344262295082,0.0,-0.01639344262295082
add_one_housing_activity__vs__partial_only,add_one_housing_activity,partial_only,housing_activity,add_one,True,descriptive_active_reference_months,after_employment_situation,127,2015-07-01,2026-05-01,7.927032843318272e-06,0.0,-7.927032843318272e-06,3.269448701957449e-06,0.0,-3.269448701957449e-06,1.7368176524761519e-06,0.0,-1.7368176524761519e-06,0.0,0.0,0.0
add_one_housing_activity__vs__partial_only,add_one_housing_activity,partial_only,housing_activity,add_one,True,descriptive_active_reference_months,after_midmonth_defining_releases,127,2015-07-01,2026-05-01,0.0004345517729408819,0.0,-0.0004345517729408819,0.00011985378442442222,0.0,-0.00011985378442442222,4.271111966262279e-05,0.0,-4.271111966262279e-05,0.0,0.0,0.0
add_one_housing_activity__vs__partial_only,add_one_housing_activity,partial_only,housing_activity,add_one,True,descriptive_active_reference_months,before_any_defining_release,127,2015-07-01,2026-05-01,5.603968911605061e-06,0.0,-5.603968911605061e-06,2.39249039996802e-06,0.0,-2.39249039996802e-06,1.1512970025619249e-06,0.0,-1.1512970025619249e-06,0.0,0.0,0.0
