filter_variant,model_role,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months
leave_one_out_housing_activity,sensitivity,strict_pre_final_score_day,183,5.72626146182079,1.302038139936055,0.03395748013016458,0.2379315331998065,0.7540983606557377,1.415384624647441,0.4936044094589728,-0.6690184784530571,4
leave_one_out_business_investment,sensitivity,strict_pre_final_score_day,183,5.7322154968054795,1.3012903089601964,0.03355030192243673,0.2371837022239479,0.7704918032786885,1.4151789829260826,0.4933145803749984,-0.6690184784530571,4
leave_one_out_weekly_labor_stress,sensitivity,strict_pre_final_score_day,183,5.74294650473788,1.3021765817402031,0.033942004266927964,0.2380699750039548,0.7595628415300546,1.4411864746560457,0.4932388209374206,-0.6690184784530571,4
add_one_consumer_demand,sensitivity,strict_pre_final_score_day,183,5.759866388858685,1.3009621897672377,0.03335090219672254,0.23685558303098916,0.7704918032786885,1.4503288779129677,0.49069008367814687,-0.6690184784530571,4
leave_one_out_consumer_demand,sensitivity,strict_pre_final_score_day,183,5.78879078005872,1.3014331936595105,0.03384565858932564,0.2373265869232622,0.7704918032786885,1.4069736260092762,0.49098615134467516,-0.6575877976289042,4
add_one_weekly_labor_stress,sensitivity,strict_pre_final_score_day,183,5.812858539257429,1.300425876503399,0.03318316289057731,0.23631926976715062,0.8142076502732241,1.4164145033555446,0.48828119453273566,-0.6486671919718041,4
add_one_business_investment,sensitivity,strict_pre_final_score_day,183,5.817245166397237,1.3009189058040707,0.03352457953626002,0.2368122990678222,0.7704918032786885,1.4415509331641423,0.4883515025404927,-0.648447436324195,4
add_one_housing_activity,sensitivity,strict_pre_final_score_day,183,5.82847572824872,1.3005490973445086,0.03328136666526998,0.23644249060826025,0.8087431693989071,1.4425014326947034,0.4879737225021236,-0.6584276295581954,4
add_inflation_pressure_pair,sensitivity,strict_pre_final_score_day,183,5.835561724309778,1.3004368376257107,0.03316798150187045,0.23633023088946242,0.825136612021858,1.4476249784612154,0.4869159841309579,-0.648447436324195,4
add_one_inflation_input_costs,sensitivity,strict_pre_final_score_day,183,5.835569588612702,1.3004380867406202,0.03316854403339721,0.2363314800043719,0.825136612021858,1.4476252055017913,0.4869194076497101,-0.648447436324195,4
add_one_inflation_expectations,sensitivity,strict_pre_final_score_day,183,5.835582594929753,1.30033392897223,0.0331132967621387,0.23622732223598164,0.825136612021858,1.4474340552704563,0.4868338446250298,-0.648447436324195,4
partial_only,major_benchmark,strict_pre_final_score_day,183,5.835589683205558,1.3003350492954844,0.03311380484690474,0.2362284425592359,0.825136612021858,1.4474340937016814,0.48683712721996164,-0.648447436324195,4
add_one_monthly_labor_demand,sensitivity,strict_pre_final_score_day,183,5.835629120297049,1.300400466191426,0.0331657340629022,0.23629385945517756,0.825136612021858,1.4478082476370193,0.4868353479742171,-0.6473537353851733,4
transition_only,major_benchmark,strict_pre_final_score_day,183,26.91905050798631,1.5365413241079706,0.15028277316786048,0.47243471737172216,0.34972677595628415,4.2947175013760885,0.7379022364967949,1.8200796566973392,4
