checkpoint_id,filter_variant,as_of_date,checkpoint_type,regime_0,regime_1,regime_2,regime_3,probability,sobol_samples,maximum_marginal_probability_error
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_up_inflation_up,growth_up_inflation_down,0.007568359375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_up_inflation_up,growth_down_inflation_down,0.0045166015625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_down_inflation_up,growth_up_inflation_up,0.015625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_down_inflation_up,growth_down_inflation_up,0.02032470703125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_down_inflation_up,growth_up_inflation_down,0.01153564453125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_down_inflation_up,growth_down_inflation_down,0.0087890625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_up_inflation_down,growth_up_inflation_up,0.0048828125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_up_inflation_down,growth_down_inflation_up,0.0076904296875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_up_inflation_down,growth_up_inflation_down,0.00665283203125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_up_inflation_down,growth_down_inflation_down,0.0050048828125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_down_inflation_down,growth_up_inflation_up,0.00604248046875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_down_inflation_down,growth_down_inflation_up,0.00823974609375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_down_inflation_down,growth_up_inflation_down,0.00714111328125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_down_inflation_down,growth_down_inflation_down,0.00634765625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_up_inflation_up,growth_up_inflation_up,0.004150390625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_up_inflation_up,growth_down_inflation_up,0.00439453125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_up_inflation_up,growth_up_inflation_down,0.002685546875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_up_inflation_up,growth_down_inflation_down,0.0020751953125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_down_inflation_up,growth_up_inflation_up,0.005859375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_down_inflation_up,growth_down_inflation_up,0.00799560546875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_down_inflation_up,growth_up_inflation_down,0.005126953125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_down_inflation_up,growth_down_inflation_down,0.0030517578125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_up_inflation_down,growth_up_inflation_up,0.0020751953125,16384,0.001393725632879178
