filter_variant,comparison_baseline,comparison_scope,evaluation_checkpoint,paired_months,first_paired_month,last_paired_month,mean_delta_score_center_negative_log_predictive_density,mean_delta_growth_squared_error,mean_delta_inflation_squared_error,mean_delta_quadrant_cross_entropy_to_exact_score_map,mean_delta_quadrant_brier_distance_to_exact_score_map,mean_delta_quadrant_kl_divergence_to_exact_score_map,mean_delta_hard_quadrant_correct
huber_var_combined,transition_only,all_common_evaluation_months,before_any_defining_release,183,2011-01-01,2026-05-01,5.798333780605486,0.12242126627200264,-0.030026025167536437,-0.011187217033143976,-0.004199898363031635,-0.011187217033143978,-0.03278688524590164
huber_var_combined,transition_only,all_common_evaluation_months,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-16.469058030209453,-14.606033628600583,-0.3150629214420016,-0.23580411839772608,-0.11708034662528644,-0.23580411839772608,0.3879781420765027
partial_only,transition_only,all_common_evaluation_months,after_employment_situation,183,2011-01-01,2026-05-01,-19.259950245156638,-14.003572751096552,-0.13827303314280381,-0.10146812381104256,-0.048647617742434146,-0.10146812381104255,0.16393442622950818
partial_only,transition_only,all_common_evaluation_months,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-21.085215815677422,-16.350139681619776,-0.3077673041696629,-0.2371859046459777,-0.11764464597516097,-0.2371859046459777,0.4808743169398907
partial_only,transition_only,all_common_evaluation_months,before_any_defining_release,183,2011-01-01,2026-05-01,-0.0007031626574091375,0.003741609092423499,-0.00030200307529255975,0.0016777738830010347,0.0009108540589879849,0.0016777738830010347,0.0
partial_only,transition_only,all_common_evaluation_months,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-21.083460824780754,-16.349532961016074,-0.30748932218718666,-0.23620627481248616,-0.11716896832095576,-0.23620627481248616,0.47540983606557374
retail_real_decomposition_combined,transition_only,all_common_evaluation_months,after_employment_situation,183,2011-01-01,2026-05-01,-13.961543653756609,-12.336118951527519,-0.1596817965123452,-0.10256211641032384,-0.04905647060819352,-0.10256211641032384,0.15300546448087432
retail_real_decomposition_combined,transition_only,all_common_evaluation_months,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-16.46904032201979,-14.569679579345774,-0.33865958919340233,-0.23990476926663457,-0.11854546432798935,-0.23990476926663457,0.40437158469945356
retail_real_decomposition_combined,transition_only,all_common_evaluation_months,before_any_defining_release,183,2011-01-01,2026-05-01,5.797395551740197,0.1224222981834992,-0.030671047200035054,-0.011404801587635936,-0.004305242193308171,-0.011404801587635929,-0.03278688524590164
retail_real_decomposition_combined,transition_only,all_common_evaluation_months,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-16.532283751790487,-14.60544836874635,-0.34387617624953754,-0.2394953253261277,-0.1180968543954841,-0.2394953253261277,0.3770491803278688
retail_shrinkage_combined,transition_only,all_common_evaluation_months,after_employment_situation,183,2011-01-01,2026-05-01,-13.960700904258722,-12.336106073342302,-0.15925009095279127,-0.1024328555570264,-0.0489934503564139,-0.1024328555570264,0.15300546448087432
retail_shrinkage_combined,transition_only,all_common_evaluation_months,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-16.426690506901824,-14.57130789751926,-0.3169774421532888,-0.23712487907700647,-0.11772257659926545,-0.23712487907700652,0.4262295081967213
retail_shrinkage_combined,transition_only,all_common_evaluation_months,before_any_defining_release,183,2011-01-01,2026-05-01,5.798383321063007,0.12243682299660552,-0.030006602658892646,-0.01116871738940729,-0.004190669269794582,-0.01116871738940728,-0.03278688524590164
retail_shrinkage_combined,transition_only,all_common_evaluation_months,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-16.47288445015325,-14.60619795990952,-0.31561578448136607,-0.23585943596254963,-0.11708497004490648,-0.23585943596254963,0.39344262295081966
