reference_month,growth_score,inflation_score,growth_score_available_at,inflation_score_available_at,score_available_at,data_status
2013-06-01,0.1678269610145262,0.19620782710446683,2013-08-02,2013-08-02,2013-08-02,score_available
2013-07-01,0.2448443405519834,-0.5706646006811282,2013-08-30,2013-08-30,2013-08-30,score_available
2013-08-01,0.3430057786423166,-0.2318970268709018,2013-09-27,2013-09-27,2013-09-27,score_available
2013-09-01,0.36325143488872874,-0.36110289150957076,2013-11-08,2013-11-08,2013-11-08,score_available
2013-10-01,-0.03385033245804667,-0.4010519606650671,2013-12-06,2013-12-06,2013-12-06,score_available
2013-11-01,1.211865136230708,-0.27921442686092784,2013-12-23,2013-12-23,2013-12-23,score_available
2013-12-01,0.4679353699278237,-0.22268876236490204,2014-01-31,2014-01-31,2014-01-31,score_available
2014-01-01,0.049925641301224705,0.32525344108132614,2014-03-03,2014-03-03,2014-03-03,score_available
2014-02-01,0.16793869961848729,0.136062592414068,2014-03-28,2014-03-28,2014-03-28,score_available
2014-03-01,0.736325532239755,-0.3734049551898643,2014-05-01,2014-05-01,2014-05-01,score_available
2014-04-01,0.19405860889329202,0.268587080528988,2014-05-30,2014-05-30,2014-05-30,score_available
2014-05-01,0.1613030789849232,0.1201820005992745,2014-06-26,2014-06-26,2014-06-26,score_available
2014-06-01,0.56887689029952,-0.04934756048434517,2014-08-01,2014-08-01,2014-08-01,score_available
2014-07-01,-0.13833868136637592,-0.3302638665466642,2014-08-29,2014-08-29,2014-08-29,score_available
2014-08-01,0.3235034984963593,-0.4768709500056892,2014-09-29,2014-09-29,2014-09-29,score_available
2014-09-01,0.5507625169664644,-0.4351894229452078,2014-10-31,2014-10-31,2014-10-31,score_available
2014-10-01,0.16411336882760663,0.07211275241078535,2014-11-26,2014-11-26,2014-11-26,score_available
2014-11-01,1.1113016390562027,-0.6036438761122978,2014-12-23,2014-12-23,2014-12-23,score_available
2014-12-01,0.16188464188333784,-1.3451624803750493,2015-02-02,2015-02-02,2015-02-02,score_available
2015-01-01,0.11870633972709063,0.130185197604027,2015-03-02,2015-03-02,2015-03-02,score_available
2015-02-01,0.30426885760749683,-0.39126077893572875,2015-03-30,2015-03-30,2015-03-30,score_available
2015-03-01,-0.25541992677122255,0.5397717030772727,2015-04-30,2015-04-30,2015-04-30,score_available
2015-04-01,-0.04861421120746506,-0.05294929542864468,2015-06-01,2015-06-01,2015-06-01,score_available
2015-05-01,0.18050468324020594,0.18594816965275057,2015-06-25,2015-06-25,2015-06-25,score_available
2015-06-01,0.36420031880597536,0.09612891470358365,2015-08-03,2015-08-03,2015-08-03,score_available
2015-07-01,0.3300514463741048,-0.3453496343234027,2015-08-28,2015-08-28,2015-08-28,score_available
2015-08-01,0.30989097934948817,-0.42974627136821414,2015-09-28,2015-09-28,2015-09-28,score_available
2015-09-01,-0.08801526041713931,-0.16947850730766564,2015-10-30,2015-10-30,2015-10-30,score_available
2015-10-01,0.12132878779236204,-0.07856786946384836,2015-11-25,2015-11-25,2015-11-25,score_available
2015-11-01,-0.10966011804739642,-0.28807887462399767,2015-12-23,2015-12-23,2015-12-23,score_available
2015-12-01,-0.06735712643004775,-0.3406695907468911,2016-02-01,2016-02-01,2016-02-01,score_available
2016-01-01,0.6764631295790464,0.6879519831627675,2016-02-26,2016-02-26,2016-02-26,score_available
2016-02-01,-0.11370588724610604,0.08823251032101997,2016-03-28,2016-03-28,2016-03-28,score_available
2016-03-01,-0.4328119401644561,-0.5361958966990513,2016-04-29,2016-04-29,2016-04-29,score_available
2016-04-01,0.5932383092788439,0.2656979783823697,2016-05-31,2016-05-31,2016-05-31,score_available
2016-05-01,0.15067747836164558,0.01919032129386314,2016-06-29,2016-06-29,2016-06-29,score_available
2016-06-01,0.20814247700780303,-0.12438486291665904,2016-08-02,2016-08-02,2016-08-02,score_available
2016-07-01,0.5240539225972767,-0.38276965242636374,2016-08-29,2016-08-29,2016-08-29,score_available
2016-08-01,-0.39957036724915923,0.3142034235384848,2016-09-30,2016-09-30,2016-09-30,score_available
2016-09-01,-0.0753326863644221,0.06555610185580302,2016-10-31,2016-10-31,2016-10-31,score_available
2016-10-01,0.06485678703827155,-0.20535494734763493,2016-11-30,2016-11-30,2016-11-30,score_available
2016-11-01,0.227075507683621,-0.508424532399137,2016-12-22,2016-12-22,2016-12-22,score_available
2016-12-01,0.3003796785867303,0.501861102497139,2017-01-30,2017-01-30,2017-01-30,score_available
2017-01-01,-0.49316446288019494,0.8013221471149709,2017-03-01,2017-03-01,2017-03-01,score_available
2017-02-01,0.047618745615109564,0.05261540286252344,2017-03-31,2017-03-31,2017-03-31,score_available
2017-03-01,0.5057989138008048,-1.213677062618047,2017-05-01,2017-05-01,2017-05-01,score_available
2017-04-01,0.6393697027489245,0.0017537043291290244,2017-05-30,2017-05-30,2017-05-30,score_available
2017-05-01,0.058294338704679885,-0.6089129972516114,2017-06-30,2017-06-30,2017-06-30,score_available
2017-06-01,-0.018890759915583838,-0.14187088122392358,2017-08-01,2017-08-01,2017-08-01,score_available
2017-07-01,0.3152253079776551,-0.19380912751958246,2017-08-31,2017-08-31,2017-08-31,score_available
2017-08-01,-0.734442252538603,0.09852748939166767,2017-09-29,2017-09-29,2017-09-29,score_available
2017-09-01,0.48803528404828156,0.24330723764744527,2017-10-30,2017-10-30,2017-10-30,score_available
