evaluation_sample,filter_variant,comparison_reference,evaluation_checkpoint,metric,better_direction,paired_months,mean_candidate_minus_baseline,bootstrap_confidence_level,bootstrap_lower,bootstrap_upper,bootstrap_probability_candidate_better,centered_two_sided_p_value,block_length_months,replications,random_seed,holm_family_member,holm_adjusted_p_value
excluding_2020_03_through_2020_05,priority_04_housing,student_t_7_combined,after_midmonth_defining_releases,quadrant_cross_entropy_to_exact_score_map,lower,180,-1.7366645657502912e-07,0.95,-8.4954626544909e-05,0.00011310366880507005,0.5338,0.9972005598880224,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_05_import_prices,student_t_7_combined,after_midmonth_defining_releases,quadrant_cross_entropy_to_exact_score_map,lower,180,0.000617239664960854,0.95,-0.0036664756812070844,0.005014019840137806,0.3846,0.7696460707858428,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_06_backlog,student_t_7_combined,after_midmonth_defining_releases,quadrant_cross_entropy_to_exact_score_map,lower,180,-1.880666311326113e-05,0.95,-6.359409362606444e-05,4.921595811840821e-06,0.7328,0.48990201959608076,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,after_midmonth_defining_releases,score_center_negative_log_predictive_density,lower,180,0.06900171175286866,0.95,-0.04571318076088106,0.20627465811378817,0.142,0.29154169166166766,12,5000,20260722,False,
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,after_midmonth_defining_releases,score_center_negative_log_predictive_density,lower,180,0.045102166361502286,0.95,-0.024412911303013686,0.1259369967980038,0.1124,0.22695460907818435,12,5000,20260722,True,0.6808638272345531
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,after_midmonth_defining_releases,score_center_negative_log_predictive_density,lower,180,-0.0016074902378226063,0.95,-0.004864273046922081,0.001547160448193763,0.8404,0.3087382523495301,12,5000,20260722,True,0.6808638272345531
excluding_2020_03_through_2020_05,priority_03_consumer,student_t_7_combined,after_midmonth_defining_releases,score_center_negative_log_predictive_density,lower,180,0.03329629611364098,0.95,0.0016731242021512127,0.06801706386727098,0.02,0.04879024195160968,12,5000,20260722,True,0.2439512097580484
excluding_2020_03_through_2020_05,priority_04_housing,student_t_7_combined,after_midmonth_defining_releases,score_center_negative_log_predictive_density,lower,180,-0.0012453377535973198,0.95,-0.0025501265741437757,-0.00021362694875723395,0.9948,0.03579284143171366,12,5000,20260722,True,0.21475704859028194
excluding_2020_03_through_2020_05,priority_05_import_prices,student_t_7_combined,after_midmonth_defining_releases,score_center_negative_log_predictive_density,lower,180,-0.029392745122632992,0.95,-0.0774924280259292,0.003809835894094405,0.9418,0.15796840631873627,12,5000,20260722,True,0.6318736252749451
excluding_2020_03_through_2020_05,priority_06_backlog,student_t_7_combined,after_midmonth_defining_releases,score_center_negative_log_predictive_density,lower,180,-0.00013505128096051743,0.95,-0.0004517902435195609,4.663285581966093e-05,0.717,0.5058988202359528,12,5000,20260722,True,0.6808638272345531
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,before_any_defining_release,hard_quadrant_correct,higher,180,-0.011111111111111112,0.95,-0.05555555555555555,0.02236111111110909,0.2356,0.5704859028194361,12,5000,20260722,False,
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,before_any_defining_release,hard_quadrant_correct,higher,180,-0.027777777777777776,0.95,-0.06666666666666667,0.005555555555555556,0.0354,0.13537292541491702,12,5000,20260722,True,0.8122375524895021
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,before_any_defining_release,hard_quadrant_correct,higher,180,0.022222222222222223,0.95,-0.005555555555555556,0.05555555555555555,0.9092,0.1357728454309138,12,5000,20260722,True,0.8122375524895021
excluding_2020_03_through_2020_05,priority_03_consumer,student_t_7_combined,before_any_defining_release,hard_quadrant_correct,higher,180,0.011111111111111112,0.95,0.0,0.027777777777777776,0.8832,0.24595080983803239,12,5000,20260722,True,0.9838032393521295
excluding_2020_03_through_2020_05,priority_04_housing,student_t_7_combined,before_any_defining_release,hard_quadrant_correct,higher,180,0.0,0.95,0.0,0.0,0.0,1.0,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_05_import_prices,student_t_7_combined,before_any_defining_release,hard_quadrant_correct,higher,180,0.005555555555555556,0.95,0.0,0.016666666666666666,0.6364,0.6290741851629674,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_06_backlog,student_t_7_combined,before_any_defining_release,hard_quadrant_correct,higher,180,0.0,0.95,0.0,0.0,0.0,1.0,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,180,0.024794821251979272,0.95,0.004284131229642799,0.051251603303692966,0.0026,0.03419316136772645,12,5000,20260722,False,
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,180,0.024399736034823875,0.95,0.00537016921771358,0.048346786814021596,0.0018,0.02439512097580484,12,5000,20260722,True,0.14637072585482902
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,180,-0.0009211779576446653,0.95,-0.002932553061577051,0.0006509147037944102,0.8426,0.3103379324135173,12,5000,20260722,True,0.9310137972405519
excluding_2020_03_through_2020_05,priority_03_consumer,student_t_7_combined,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,180,3.070480227735986e-05,0.95,-0.00040541928644496786,0.0005622375823284838,0.4728,0.9100179964007199,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_04_housing,student_t_7_combined,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,180,-1.399965346328847e-06,0.95,-3.6447886250480856e-06,-3.696579438115983e-08,0.9888,0.09878024395120975,12,5000,20260722,True,0.4939012197560488
excluding_2020_03_through_2020_05,priority_05_import_prices,student_t_7_combined,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,180,-4.800122280749541e-05,0.95,-0.00017205836237277523,2.7292329071158837e-05,0.7016,0.5134973005398921,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_06_backlog,student_t_7_combined,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,180,6.0702587286600914e-06,0.95,-2.4379445613477117e-08,1.646045540177869e-05,0.0982,0.21655668866226754,12,5000,20260722,True,0.8662267546490702
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,180,0.05270278069420622,0.95,0.007756728274726489,0.11243848630477554,0.006,0.04339132173565287,12,5000,20260722,False,
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,180,0.0483432492254315,0.95,0.010025281838350166,0.10018090666157663,0.0018,0.033393321335732855,12,5000,20260722,True,0.20035992801439712
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.002504436161468872,0.95,-0.006722193392059578,0.0005372852487682038,0.9328,0.17016596680663867,12,5000,20260722,True,0.6806638672265547
excluding_2020_03_through_2020_05,priority_03_consumer,student_t_7_combined,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,180,0.00011455919435470073,0.95,-0.0007632683962675879,0.0011697762560693133,0.432,0.8144371125774845,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_04_housing,student_t_7_combined,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,180,-2.8109992141287263e-06,0.95,-7.4586983973999125e-06,-1.0215474963246372e-07,0.9914,0.09998000399920016,12,5000,20260722,True,0.4999000199960008
