filter_variant,model_role,comparison_reference,reference_model_role,comparison_scope,evaluation_checkpoint,paired_months,first_paired_month,last_paired_month,mean_delta_score_center_negative_log_predictive_density,mean_delta_growth_squared_error,mean_delta_inflation_squared_error,mean_delta_quadrant_cross_entropy_to_exact_score_map,mean_delta_quadrant_brier_distance_to_exact_score_map,mean_delta_quadrant_kl_divergence_to_exact_score_map,mean_delta_hard_quadrant_correct
priority_01_surveys,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_employment_situation,183,2011-01-01,2026-05-01,0.0742553544890247,0.09588611325915611,-0.003729527025502988,0.01156535847395396,0.006973624730736131,0.011565358473953935,-0.01639344262295082
priority_01_surveys,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,0.09432581618139653,0.00674201888460087,0.01583105942791483,0.010706536505628956,0.00541503765488252,0.010706536505628953,-0.03278688524590164
priority_01_surveys,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,before_any_defining_release,183,2011-01-01,2026-05-01,0.07187181324821906,1.3322767322872908,-0.012416378787545026,0.04737044112156282,0.023917006529699185,0.0473704411215628,-0.0273224043715847
priority_01_surveys,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,strict_pre_final_score_day,183,2011-01-01,2026-05-01,0.08238885134171335,-0.04331393491317703,0.017022786227705606,0.012019488152382306,0.006068126468580851,0.012019488152382268,-0.0273224043715847
priority_02_claims,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_employment_situation,183,2011-01-01,2026-05-01,-0.014778360319423027,-0.05177529738857477,0.0011500339374098836,-0.00026268840127054166,-0.00014319910372267105,-0.0002626884012705351,0.0
priority_02_claims,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-0.011510990444096205,-0.0280917930599085,9.763212171598843e-05,-0.00013187750746016257,-0.00011193275717699001,-0.0001318775074601654,-0.00546448087431694
priority_02_claims,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,before_any_defining_release,183,2011-01-01,2026-05-01,-0.016999554142711346,-0.06535870337497102,0.0026582661879407748,-0.0025256164184252277,-0.0009336967057174356,-0.0025256164184252286,0.02185792349726776
priority_02_claims,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-0.02656691406296397,-0.05071980727577285,0.0003914231669449346,-0.00013747655538074268,-0.00013829824587462236,-0.00013747655538073954,0.00546448087431694
priority_03_consumer,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_employment_situation,183,2011-01-01,2026-05-01,4.837695610643569,1.1302697299585218,0.00023109510622106567,-0.0006377719691222803,-0.0002752293116285099,-0.0006377719691222809,-0.00546448087431694
priority_03_consumer,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,3.1265853906267913,0.4328309402066648,-0.004062081578356557,-0.000340582214342268,-0.00014126479140119988,-0.00034058221434224754,0.03825136612021858
priority_03_consumer,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,before_any_defining_release,183,2011-01-01,2026-05-01,-0.008824339658012785,-0.014462723148097007,0.0013705150921885555,0.00011413116547835871,3.0242949173237576e-05,0.00011413116547835976,0.01092896174863388
priority_03_consumer,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,strict_pre_final_score_day,183,2011-01-01,2026-05-01,3.123879786284929,0.41954400135272124,-0.003756332728571658,-0.0009403868705575063,-0.00028226574654205964,-0.0009403868705575082,0.01639344262295082
priority_04_housing,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_employment_situation,183,2011-01-01,2026-05-01,1.1901417466636957e-06,1.3700651064253688e-05,-2.869300537453192e-06,-1.8598519249612855e-06,-1.0051170127820998e-06,-1.8598519249403741e-06,0.0
priority_04_housing,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-0.0012213480999572724,-0.00015864353663326666,7.199633706726142e-06,-1.7132666134271757e-07,9.716682786566391e-06,-1.71326661343784e-07,-0.00546448087431694
priority_04_housing,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,before_any_defining_release,183,2011-01-01,2026-05-01,3.87719416950413e-06,1.1755825716439264e-05,-1.9656119899758015e-06,-2.7666383182280947e-06,-1.3770865905249844e-06,-2.766638318237233e-06,0.0
priority_04_housing,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-0.011335359860576153,-0.006888402147646394,-0.0009777294363380472,0.0001411691754193359,0.0001710435020374526,0.00014116917541929995,-0.01092896174863388
priority_05_import_prices,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_employment_situation,183,2011-01-01,2026-05-01,-0.00037752450982021253,1.9692067501080626e-05,-0.00014952248224938983,-9.002939819707365e-05,-4.720658825665715e-05,-9.002939819706849e-05,0.0
priority_05_import_prices,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-0.02653194548269799,-0.00028354087131575787,-0.009476327898362145,0.0006160526639622008,0.0006542642470173092,0.0006160526639622326,-0.00546448087431694
priority_05_import_prices,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,before_any_defining_release,183,2011-01-01,2026-05-01,-0.0004102245025405468,4.198171859618922e-05,-0.00012804671882704757,-8.280384263405406e-05,-4.721428368179195e-05,-8.280384263409022e-05,0.00546448087431694
priority_05_import_prices,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-0.0265394947161023,-0.0009644914592001696,-0.010040267736728265,0.00010365732882387176,0.00040900542457354466,0.00010365732882388003,-0.01092896174863388
priority_06_backlog,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_employment_situation,183,2011-01-01,2026-05-01,3.3446304908236454e-05,1.516735066276166e-07,2.5249919594175814e-05,1.231215441058759e-05,6.130822545617068e-06,1.23121544105821e-05,0.0
priority_06_backlog,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-0.00013283796841101662,-0.0001549041330135506,9.220155817931772e-06,-1.849835715633675e-05,-9.058955598684575e-06,-1.8498357156339332e-05,0.0
priority_06_backlog,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,before_any_defining_release,183,2011-01-01,2026-05-01,3.0329098506527625e-05,1.1050840811653955e-05,2.3229862995745565e-05,1.2558199038297173e-05,5.970747192792102e-06,1.2558199038297819e-05,0.0
priority_06_backlog,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,strict_pre_final_score_day,183,2011-01-01,2026-05-01,0.0025515923121644155,0.0013969704647019774,-0.0006825933045421251,-0.0005756484508935926,-0.00026022234286987074,-0.0005756484508936349,-0.00546448087431694
